StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.004,0,0.195,0.005,True,2.3650295633219333296066255293
0.004,0,0.196,0.005,True,2.3650295633219333296066255293
0.004,0,0.197,0.005,True,2.3650295633219333296066255293
0.012,0.06,0.199,0.015,False,2.3627141726057572278326050046
0.004,0,0.198,0.005,True,2.3580849952463588475706404676
0.005,0,0.195,0.005,True,2.3410440710546618166406161656
0.005,0,0.196,0.005,True,2.3410440710546618166406161656
0.005,0,0.197,0.005,True,2.3410440710546618166406161656
0.005,0,0.198,0.005,True,2.3367554678101210291780027218
0.004,0.02,0.194,0.005,True,2.3220928392554571261472429227
0.004,0.01,0.195,0.005,True,2.3220928392554571261472429227
0.004,0.02,0.195,0.005,True,2.3220928392554571261472429227
0.004,0.01,0.196,0.005,True,2.3220928392554571261472429227
0.004,0.02,0.196,0.005,True,2.3220928392554571261472429227
0.004,0.01,0.197,0.005,True,2.3220928392554571261472429227
0.004,0.02,0.197,0.005,True,2.3220928392554571261472429227
0.004,0.01,0.198,0.005,True,2.3220928392554571261472429227
0.004,0.02,0.198,0.005,True,2.3220928392554571261472429227
0.013,0.05,0.197,0.014,False,2.3068992320883252861007735258
0.013,0.05,0.198,0.014,False,2.3068992320883252861007735258
0.013,0.05,0.199,0.014,False,2.3068992320883252861007735258
0.006,0,0.195,0.005,True,2.3057926514286102647162937015
0.006,0,0.196,0.005,True,2.3057926514286102647162937015
0.005,0,0.195,0.006,True,2.3031239721924916962850523480
0.005,0,0.196,0.006,True,2.3031239721924916962850523480
0.005,0,0.197,0.006,True,2.3031239721924916962850523480
0.005,0,0.198,0.006,True,2.3031239721924916962850523480
0.013,0.04,0.193,0.014,False,2.2987777106965506407380088021
0.013,0.04,0.194,0.014,False,2.2987777106965506407380088021
0.005,0.02,0.194,0.005,True,2.2956155588661521635484794764
0.005,0.01,0.195,0.005,True,2.2956155588661521635484794764
0.005,0.02,0.195,0.005,True,2.2956155588661521635484794764
0.005,0.01,0.196,0.005,True,2.2956155588661521635484794764
0.005,0.02,0.196,0.005,True,2.2956155588661521635484794764
0.005,0.01,0.197,0.005,True,2.2956155588661521635484794764
0.005,0.02,0.197,0.005,True,2.2956155588661521635484794764
0.005,0.01,0.198,0.005,True,2.2956155588661521635484794764
0.005,0.02,0.198,0.005,True,2.2956155588661521635484794764
0.006,0.02,0.194,0.005,True,2.2949219394517416857344173882
0.006,0.01,0.195,0.005,True,2.2949219394517416857344173882
0.006,0.02,0.195,0.005,True,2.2949219394517416857344173882
0.006,0.01,0.196,0.005,True,2.2949219394517416857344173882
0.006,0.02,0.196,0.005,True,2.2949219394517416857344173882
0.006,0.03,0.194,0.005,True,2.2906108083354348415296099439
0.006,0.03,0.195,0.005,True,2.2906108083354348415296099439
0.006,0.03,0.196,0.005,True,2.2906108083354348415296099439
0.014,0.05,0.192,0.014,False,2.2789841728077205535612646331
0.014,0.05,0.193,0.014,False,2.2789841728077205535612646331
0.014,0.05,0.194,0.014,False,2.2789841728077205535612646331
0.014,0.05,0.195,0.014,False,2.2789841728077205535612646331
0.014,0.05,0.196,0.014,False,2.2789841728077205535612646331
0.014,0.05,0.197,0.014,False,2.2789841728077205535612646331
0.014,0.05,0.198,0.014,False,2.2789841728077205535612646331
0.004,0.03,0.196,0.005,True,2.2773061771848127518343008673
0.004,0.03,0.197,0.005,True,2.2773061771848127518343008673
0.004,0.03,0.198,0.005,True,2.2773061771848127518343008673
0.014,0.06,0.192,0.014,False,2.2752624326131280951978981341
0.014,0.06,0.193,0.014,False,2.2752624326131280951978981341
0.014,0.06,0.194,0.014,False,2.2752624326131280951978981341
0.014,0.06,0.195,0.014,False,2.2752624326131280951978981341
0.014,0.06,0.196,0.014,False,2.2752624326131280951978981341
0.014,0.06,0.197,0.014,False,2.2752624326131280951978981341
0.014,0.06,0.198,0.014,False,2.2752624326131280951978981341
0.006,0.04,0.194,0.005,True,2.2736352707152938620961634469
0.006,0.04,0.195,0.005,True,2.2736352707152938620961634469
0.006,0.04,0.196,0.005,True,2.2736352707152938620961634469
0.007,0,0.195,0.005,True,2.2662715508185813161760879619
0.014,0.04,0.192,0.014,False,2.2632435237445014182103794977
0.014,0.04,0.193,0.014,False,2.2632435237445014182103794977
0.014,0.04,0.194,0.014,False,2.2632435237445014182103794977
0.005,0.01,0.194,0.006,True,2.2623611675578058850998245896
0.013,0.05,0.193,0.014,False,2.2611609735937944988521017282
0.013,0.05,0.194,0.014,False,2.2611609735937944988521017282
0.013,0.05,0.195,0.014,False,2.2611609735937944988521017282
0.013,0.05,0.196,0.014,False,2.2611609735937944988521017282
0.007,0.02,0.194,0.005,True,2.2591834131907884226523493491
0.007,0.01,0.195,0.005,True,2.2591834131907884226523493491
0.007,0.02,0.195,0.005,True,2.2591834131907884226523493491
0.013,0.06,0.197,0.014,False,2.2579090819543307517291085151
0.013,0.06,0.198,0.014,False,2.2579090819543307517291085151
0.013,0.06,0.199,0.014,False,2.2579090819543307517291085151
0.007,0.03,0.194,0.005,True,2.2569410623457843407666764493
0.007,0.03,0.195,0.005,True,2.2569410623457843407666764493
0.004,0.01,0.194,0.005,True,2.2568160353140084092888691147
0.005,0,0.194,0.006,True,2.2492115242035041680650094196
0.005,0.03,0.195,0.005,True,2.2473417567975928302871919051
0.005,0.03,0.196,0.005,True,2.2473417567975928302871919051
0.005,0.03,0.197,0.005,True,2.2473417567975928302871919051
0.005,0.03,0.198,0.005,True,2.2473417567975928302871919051
0.004,0,0.194,0.005,True,2.2445105280637607169647134023
0.007,0.04,0.194,0.005,True,2.2422700761300222353110176135
0.007,0.04,0.195,0.005,True,2.2422700761300222353110176135
0.007,0,0.195,0.006,True,2.2335936732987222782865228581
0.007,0,0.196,0.006,True,2.2335936732987222782865228581
0.004,0.04,0.196,0.005,True,2.2313262248808263464576095388
0.004,0.04,0.197,0.005,True,2.2313262248808263464576095388
0.004,0.04,0.198,0.005,True,2.2313262248808263464576095388
0.005,0.01,0.194,0.005,True,2.2292669442766206762427082802
0.005,0.04,0.195,0.005,True,2.2276565844194321555287727769
0.005,0.04,0.196,0.005,True,2.2276565844194321555287727769
0.005,0.04,0.197,0.005,True,2.2276565844194321555287727769
0.005,0.04,0.198,0.005,True,2.2276565844194321555287727769
0.006,0.01,0.194,0.005,True,2.2275015292793378831848525612
0.008,0.02,0.194,0.005,True,2.2220180036638449914826356440
0.008,0.03,0.194,0.005,True,2.2208074209870054985338240017
0.004,0.07,0.194,0.017,False,2.2172460441522993748542001687
0.004,0.07,0.195,0.017,False,2.2172460441522993748542001687
0.004,0.07,0.196,0.017,False,2.2172460441522993748542001687
0.004,0.07,0.197,0.017,False,2.2172460441522993748542001687
0.004,0.07,0.198,0.017,False,2.2172460441522993748542001687
0.005,0,0.194,0.005,True,2.2161173009223189592078931102
0.006,0,0.194,0.005,True,2.2143383146050352975855573357
0.013,0.06,0.193,0.014,False,2.2121708234597999644804367175
0.013,0.06,0.194,0.014,False,2.2121708234597999644804367175
0.013,0.06,0.195,0.014,False,2.2121708234597999644804367175
0.013,0.06,0.196,0.014,False,2.2121708234597999644804367175
0.008,0.04,0.194,0.005,True,2.2087046414174555532146707958
0.004,0.08,0.194,0.017,False,2.2069764228205281581523469525
0.004,0.08,0.195,0.017,False,2.2069764228205281581523469525
0.004,0.08,0.196,0.017,False,2.2069764228205281581523469525
0.004,0.08,0.197,0.017,False,2.2069764228205281581523469525
0.004,0.08,0.198,0.017,False,2.2069764228205281581523469525
0.005,0.08,0.200,0.018,False,2.2065932346292183027974000051
0.007,0.01,0.194,0.006,True,2.1944584237425359286583939534
0.007,0.01,0.194,0.005,True,2.1906906400961285080254749463
0.007,0,0.194,0.006,True,2.1812816377482324744946186723
0.025,0,0.199,0.002,True,2.1779077400319021450297596067
0.007,0,0.194,0.005,True,2.1775138541018250538616996652
0.013,0.01,0.194,0.015,False,2.1732401481507658147558717446
0.008,0.04,0.194,0.017,False,2.1713122438433233644816464725
0.008,0.04,0.195,0.017,False,2.1713122438433233644816464725
0.008,0.04,0.196,0.017,False,2.1713122438433233644816464725
0.008,0.04,0.197,0.017,False,2.1713122438433233644816464725
0.005,0.01,0.200,0.017,False,2.1702453437134129746783108555
0.006,0.08,0.200,0.018,False,2.1689232322841058630780292062
0.006,0.01,0.200,0.017,False,2.1664316498633289381588337333
0.026,0,0.199,0.002,True,2.1542521831877525434426431775
0.008,0.01,0.194,0.005,True,2.1529899285243784325587851971
0.012,0.05,0.197,0.011,False,2.1511590079458236983593142357
0,0.02,0.191,0.027,False,2.1501873713163084469324302714
0.008,0.01,0.194,0.006,True,2.1491552152415918814328586698
0.010,0,0.191,0.006,True,2.1475287382325813559044921729
0,0.02,0.191,0.025,False,2.1467978576868143477886036662
0.027,0,0.199,0.002,True,2.1435273381538904058919426364
0.012,0.05,0.199,0.015,False,2.1411609733540134027975640362
0.008,0,0.194,0.005,True,2.1397995712100741098305298604
0.016,0.08,0.192,0.012,False,2.1389794024356850922796082527
0.016,0.08,0.193,0.012,False,2.1389794024356850922796082527
0.016,0.08,0.194,0.012,False,2.1389794024356850922796082527
0.016,0.08,0.195,0.012,False,2.1389794024356850922796082527
0.025,0,0.198,0.003,True,2.1366075390233152720316342220
0.025,0,0.199,0.003,True,2.1366075390233152720316342220
0.012,0.04,0.194,0.016,False,2.1360121154115230677165725250
0.008,0,0.194,0.006,True,2.1359648579272875587046033331
0,0.02,0.191,0.026,False,2.1335055746992345597198810326
0.005,0.04,0.200,0.017,False,2.1323739528814681840981322157
0.003,0.08,0.200,0.017,False,2.1269645314100825593734616553
0.028,0,0.199,0.002,True,2.1234918419869524071504132441
0.025,0,0.198,0.030,True,2.1228196327557862709711316852
0.025,0,0.199,0.030,True,2.1228196327557862709711316852
0.007,0.01,0.200,0.017,False,2.1212775095402593515951187377
0.012,0.01,0.198,0.011,False,2.1180417973571828940919392778
0.012,0.02,0.198,0.011,False,2.1180417973571828940919392778
0.012,0.03,0.198,0.011,False,2.1172484878364083283475970884
0.012,0.05,0.194,0.006,True,2.1157846518444988333338813467
0.012,0.05,0.195,0.006,True,2.1157846518444988333338813467
0.012,0.09,0.191,0.016,False,2.1155565652859847639407841796
0.014,0.01,0.194,0.014,False,2.1141188809248166966657252307
0.011,0.05,0.194,0.006,True,2.1133385380147158065544988751
