StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.009,0.05,0.191,0.023,False,2.4152788774859843540300392613
0,0.25,0.200,0.005,False,2.2834720420869538621372385820
0,0.25,0.200,0.004,False,2.2811924919010046808482129666
0,0.25,0.200,0.003,False,2.2794236222521768688384694474
0,0.25,0.193,0.026,False,2.2650220894563218089179110043
0,0.25,0.194,0.026,False,2.2650220894563218089179110043
0,0.25,0.195,0.026,False,2.2650220894563218089179110043
0,0.25,0.196,0.026,False,2.2650220894563218089179110043
0,0.25,0.197,0.026,False,2.2650220894563218089179110043
0,0.25,0.198,0.026,False,2.2650220894563218089179110043
0,0.25,0.199,0.026,False,2.2650220894563218089179110043
0,0.02,0.191,0.023,False,2.2641085826369889167116391698
0,0.25,0.191,0.028,False,2.2612205486138536478032661048
0,0.25,0.192,0.028,False,2.2612205486138536478032661048
0,0.25,0.193,0.028,False,2.2612205486138536478032661048
0,0.25,0.194,0.028,False,2.2612205486138536478032661048
0,0.25,0.195,0.028,False,2.2612205486138536478032661048
0,0.25,0.196,0.028,False,2.2612205486138536478032661048
0,0.25,0.197,0.028,False,2.2612205486138536478032661048
0,0.25,0.198,0.028,False,2.2612205486138536478032661048
0,0.25,0.199,0.028,False,2.2612205486138536478032661048
0,0.25,0.192,0.027,False,2.2583206924291736381268932272
0,0.25,0.193,0.027,False,2.2583206924291736381268932272
0,0.25,0.194,0.027,False,2.2583206924291736381268932272
0,0.25,0.195,0.027,False,2.2583206924291736381268932272
0,0.25,0.196,0.027,False,2.2583206924291736381268932272
0,0.25,0.197,0.027,False,2.2583206924291736381268932272
0,0.25,0.198,0.027,False,2.2583206924291736381268932272
0,0.25,0.199,0.027,False,2.2583206924291736381268932272
0,0.03,0.191,0.023,False,2.2476806760571165126749398495
0.009,0,0.192,0.023,False,2.2344066233944416205468891926
0,0.09,0.199,0.025,False,2.2329630049637048844773537227
0.007,0.04,0.194,0.001,False,2.2322802186680840383284109515
0,0.25,0.191,0.012,False,2.2222379840672178779278176160
0,0.25,0.192,0.012,False,2.2222379840672178779278176160
0,0.25,0.193,0.012,False,2.2222379840672178779278176160
0,0.25,0.194,0.012,False,2.2222379840672178779278176160
0,0.25,0.195,0.012,False,2.2222379840672178779278176160
0,0.25,0.196,0.012,False,2.2222379840672178779278176160
