StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.027,0.09,0.173,0.040,False,3.1308637402577913677721881543
0.028,0.09,0.172,0.040,False,3.0942391666684008150378840294
0.023,0.08,0.177,0.039,False,2.9792562747924634951704178832
0.023,0.08,0.178,0.039,False,2.9792562747924634951704178832
0.025,0.09,0.175,0.040,False,2.9783805137941425171154215582
0.025,0.09,0.176,0.040,False,2.9783805137941425171154215582
0.026,0.09,0.175,0.040,False,2.9393960760333769975655218427
0.023,0.08,0.173,0.039,False,2.9359744813309652022608238174
0.023,0.08,0.174,0.039,False,2.9359744813309652022608238174
0.022,0.09,0.175,0.019,True,2.9269755073491670441788955772
0.022,0.10,0.171,0.022,True,2.9197738859741625399579954576
0.022,0.10,0.172,0.022,True,2.9197738859741625399579954576
0.023,0.06,0.174,0.019,True,2.9181716006786680220246002742
0.024,0.08,0.177,0.039,False,2.9166180878409221021687888866
0.026,0.09,0.174,0.040,False,2.9116103629561640250352602249
0.024,0.08,0.177,0.038,False,2.9115155039871357846959782242
0.022,0.09,0.173,0.020,True,2.8996085447582950661058425725
0.022,0.09,0.174,0.020,True,2.8996085447582950661058425725
0.022,0.09,0.173,0.019,True,2.8993102607502401144486824666
0.022,0.09,0.174,0.019,True,2.8993102607502401144486824666
0.022,0.09,0.173,0.021,True,2.8936789930828186977830264701
0.023,0.08,0.175,0.039,False,2.8850191091007256416033802265
0.023,0.08,0.176,0.039,False,2.8850191091007256416033802265
0.024,0.08,0.172,0.039,False,2.8673838627725952469458219582
0.024,0.08,0.173,0.039,False,2.8670238612372535352621461491
0.024,0.08,0.174,0.039,False,2.8670238612372535352621461491
0.024,0.08,0.173,0.038,False,2.8619012995192181476919501145
0.023,0.08,0.171,0.039,False,2.8513895278924716542717994026
0.023,0.08,0.172,0.039,False,2.8513895278924716542717994026
0.022,0.10,0.172,0.020,True,2.8388464251356653056063944432
0.022,0.10,0.173,0.020,True,2.8388464251356653056063944432
0.022,0.10,0.174,0.020,True,2.8388464251356653056063944432
0.022,0.10,0.172,0.019,True,2.8386375303675078495308306003
0.022,0.10,0.173,0.019,True,2.8386375303675078495308306003
0.022,0.10,0.174,0.019,True,2.8386375303675078495308306003
0.022,0.10,0.175,0.019,True,2.8386375303675078495308306003
0.022,0.10,0.171,0.021,True,2.8328274754448007359394161235
0.022,0.10,0.172,0.021,True,2.8328274754448007359394161235
0.022,0.10,0.173,0.021,True,2.8328274754448007359394161235
0.025,0.08,0.173,0.039,False,2.8223628832690107370618954570
0.025,0.08,0.174,0.039,False,2.8223628832690107370618954570
0.025,0.08,0.171,0.039,False,2.8220600580378460271764192002
0.025,0.08,0.172,0.039,False,2.8220600580378460271764192002
0.024,0.08,0.175,0.039,False,2.8182620070550941511612428046
0.024,0.08,0.176,0.039,False,2.8182620070550941511612428046
0.025,0.08,0.172,0.038,False,2.8172413758115893912272158216
0.025,0.08,0.173,0.038,False,2.8172413758115893912272158216
0.024,0.08,0.174,0.038,False,2.8142256015357468701847492686
0.024,0.08,0.175,0.038,False,2.8142256015357468701847492686
0.024,0.08,0.176,0.038,False,2.8142256015357468701847492686
0.025,0.06,0.174,0.019,True,2.7927442971855219447132132002
0.024,0.08,0.171,0.039,False,2.7854892035085485369908167117
0.024,0.08,0.171,0.038,False,2.7794079871466288331689239845
0.024,0.08,0.172,0.038,False,2.7794079871466288331689239845
0.006,0,0.175,0.013,False,2.7751467501097617416976199851
0.025,0.08,0.175,0.039,False,2.7746872036355576770348047632
0.025,0.08,0.176,0.039,False,2.7746872036355576770348047632
0.006,0,0.174,0.013,False,2.7713373317975181770181086006
0.025,0.08,0.174,0.038,False,2.7706493021500935880776850535
0.025,0.08,0.175,0.038,False,2.7706493021500935880776850535
0.025,0.08,0.176,0.038,False,2.7706493021500935880776850535
0.026,0.08,0.171,0.039,False,2.7683756348827995599406622785
0.026,0.08,0.172,0.039,False,2.7683756348827995599406622785
0.026,0.08,0.173,0.039,False,2.7680761250471848429902167069
0.026,0.08,0.174,0.039,False,2.7680761250471848429902167069
0.022,0.06,0.177,0.020,True,2.7644195956508979362843109385
0.022,0.06,0.178,0.020,True,2.7644195956508979362843109385
0.022,0.06,0.179,0.020,True,2.7644195956508979362843109385
0.026,0.08,0.171,0.038,False,2.7632719208501191225340512160
0.026,0.08,0.172,0.038,False,2.7629620162347780400118927595
