StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.033,0.07,0.032,0.028,False,2.0497205371575910325683258468
0.030,0.04,0.033,0.028,False,2.0285623649511782331237560392
0.030,0.03,0.033,0.028,False,2.0210389338875425712199177089
0.034,0.07,0.032,0.028,False,1.9865619891683249848610347938
0.030,0.04,0.033,0.027,False,1.9855765661560252507309069818
0.034,0.07,0.032,0.027,False,1.9843350824248342885466636843
0.030,0.03,0.033,0.027,False,1.9767608681561908742622537688
0.030,0.03,0.034,0.028,False,1.9755365380018079055331418740
0.033,0.06,0.032,0.028,False,1.9711126847934935106779668384
0.031,0.07,0.033,0.028,False,1.9618097841549127301709161785
0.030,0.04,0.032,0.027,False,1.9471722337625690809476548173
0.030,0.04,0.034,0.028,False,1.9463772024757333684190204756
0.030,0.05,0.034,0.028,False,1.9392982887757303404954471508
0.031,0.06,0.032,0.027,False,1.9378923331941725843972440427
0.035,0.07,0.031,0.028,False,1.9377443524972413703231587008
0.030,0.05,0.033,0.028,False,1.9358631474352176950320018516
0.031,0.07,0.033,0.027,False,1.9319075509812666361462636784
0.033,0.07,0.032,0.027,False,1.9309396789325857423166480910
0.033,0.04,0.032,0.028,False,1.9246267280914863622655501956
0.033,0.08,0.032,0.028,False,1.9226703861511684143511599414
0.030,0.04,0.032,0.028,False,1.9170764422220456867137769714
0.033,0.05,0.032,0.028,False,1.9170635725868551458141600756
0.031,0.03,0.033,0.028,False,1.9127238383572874229060337242
0.031,0.06,0.032,0.028,False,1.9082728843956282696448589040
0.034,0.06,0.032,0.028,False,1.9068687743481165870185780657
0.034,0.06,0.032,0.027,False,1.9054094864480696570346939040
0.030,0.05,0.033,0.027,False,1.9037083445399104604826137863
0.029,0.03,0.033,0.028,False,1.9000641605275482429946562751
0.030,0.06,0.034,0.028,False,1.8990773885022428889061603460
0.030,0.06,0.033,0.028,False,1.8956940608239838050839376142
0.031,0.04,0.033,0.028,False,1.8955301892643988188293607160
0.032,0.07,0.032,0.027,False,1.8936258415261868169242285776
0.031,0.05,0.032,0.027,False,1.8869280652069498093431274304
0.031,0.05,0.034,0.027,False,1.8838190695142281081297716674
0.034,0.07,0.031,0.028,False,1.8707153707865447103833080017
0.031,0.03,0.033,0.027,False,1.8693009221802557950274437123
0.031,0.05,0.033,0.028,False,1.8685608599828752802496629258
0.035,0.06,0.031,0.028,False,1.8684440639690172017389597381
0.030,0.04,0.032,0.026,False,1.8673085257968849502976992477
0.030,0.06,0.033,0.027,False,1.8645087609063116882937429575
0.034,0.07,0.031,0.027,False,1.8636199843905756310277352706
0.031,0.06,0.032,0.026,False,1.8633778444873701873997777286
0.034,0.04,0.031,0.028,False,1.8595648896193663465834233529
0.033,0.07,0.032,0.026,False,1.8586837662585357918861666950
0.031,0.05,0.032,0.028,False,1.8575647987928444936517469779
0.030,0.03,0.032,0.027,False,1.8559854048495385244315511892
0.031,0.07,0.034,0.027,False,1.8546499172079260500995639214
0.029,0.03,0.033,0.027,False,1.8537311313917161390155079653
0.031,0.04,0.033,0.027,False,1.8533880959988038207188560640
0.032,0.07,0.032,0.028,False,1.8531683081342252949412615770
0.034,0.04,0.031,0.027,False,1.8531287789089930459965178408
0.033,0.06,0.032,0.027,False,1.8525602192537799031265665471
0.026,0.04,0.040,0.014,False,1.8454300150370689335067560876
