StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.023,0.13,0.157,0.003,False,1.5229781713327752347934943875
0.023,0.13,0.158,0.003,False,1.5229781713327752347934943875
0.023,0.13,0.159,0.003,False,1.5229781713327752347934943875
0.023,0.13,0.160,0.003,False,1.5174245881920148685286818929
0.018,0.05,0.160,0.002,False,1.5000623043484558846621488658
0.023,0.14,0.158,0.003,False,1.4980794344215338513920223391
0.023,0.14,0.159,0.003,False,1.4980794344215338513920223391
0.024,0.13,0.157,0.003,False,1.4962093345342896632702854838
0.024,0.13,0.158,0.003,False,1.4962093345342896632702854838
0.024,0.13,0.159,0.003,False,1.4962093345342896632702854838
0.023,0.14,0.160,0.003,False,1.4936360951862481474295602440
0.024,0.13,0.160,0.003,False,1.4922082200954349386818961764
0.021,0.13,0.159,0.003,False,1.4759836234715760779826670916
0.024,0.14,0.157,0.003,False,1.4712803911708282356945012895
0.024,0.14,0.158,0.003,False,1.4712803911708282356945012895
0.024,0.14,0.159,0.003,False,1.4712803911708282356945012895
0.025,0.13,0.157,0.003,False,1.4691044257991761609136532308
0.025,0.13,0.158,0.003,False,1.4691044257991761609136532308
0.025,0.13,0.159,0.003,False,1.4691044257991761609136532308
0.024,0.14,0.160,0.003,False,1.4680401535234002102033761642
0.027,0.17,0.159,0.004,False,1.4675466172836466916021904988
0.021,0.13,0.160,0.003,False,1.4671683244594433687112464728
0.023,0.14,0.157,0.003,False,1.4638471882938896523406574425
0.023,0.17,0.157,0.004,False,1.4593989199905463589814990258
0.023,0.17,0.158,0.004,False,1.4593989199905463589814990258
0.023,0.17,0.159,0.004,False,1.4593989199905463589814990258
0.027,0.15,0.160,0.003,False,1.4575174008412437239897656126
0.025,0.13,0.157,0.004,False,1.4476825181647789819801902745
0.027,0.16,0.160,0.003,False,1.4469590163387311255206246455
0.021,0.13,0.157,0.003,False,1.4453233029277602938408007127
0.021,0.13,0.158,0.003,False,1.4453233029277602938408007127
0.025,0.14,0.157,0.003,False,1.4449865608998211660130055408
0.025,0.14,0.158,0.003,False,1.4449865608998211660130055408
0.025,0.14,0.159,0.003,False,1.4449865608998211660130055408
0.018,0.05,0.159,0.002,False,1.4442893813504724139478573928
0.028,0.17,0.158,0.004,False,1.4432360416474929997362305041
0.028,0.17,0.159,0.004,False,1.4432360416474929997362305041
0.018,0.05,0.160,0.001,False,1.4427993390497931490922252633
0.018,0,0.159,0.004,False,1.4421610822397417121410030987
0.022,0.11,0.160,0.002,False,1.4395801611629373026255063626
0.016,0,0.158,0.018,True,1.4395013473523695678892347673
0.016,0,0.159,0.018,True,1.4395013473523695678892347673
0.016,0,0.160,0.018,True,1.4395013473523695678892347673
0.026,0.13,0.157,0.003,False,1.4388792046988695108145827761
0.026,0.13,0.158,0.003,False,1.4388792046988695108145827761
0.016,0.01,0.159,0.018,True,1.4374460168681876044459491298
0.016,0.01,0.160,0.018,True,1.4374460168681876044459491298
0.023,0.13,0.157,0.002,False,1.4362787903092684357424538869
0.024,0.13,0.156,0.003,False,1.4349907167637557646266547886
0.027,0.18,0.159,0.004,False,1.4343400395900579485080493460
0.028,0.15,0.160,0.003,False,1.4333801739453927724183377471
0.016,0.01,0.158,0.018,True,1.4304003525329334613510138398
0.018,0,0.158,0.004,False,1.4297824460301513996152185805
0.020,0.05,0.160,0.002,False,1.4277226951703061391467975200
0.023,0.13,0.156,0.003,False,1.4269782163582694059134706072
0.028,0.15,0.159,0.003,False,1.4260623337770950747581756793
0.023,0.15,0.157,0.003,False,1.4248443615784616245358109071
0.023,0.15,0.158,0.003,False,1.4248443615784616245358109071
0.023,0.15,0.159,0.003,False,1.4248443615784616245358109071
0.028,0.16,0.160,0.003,False,1.4225462432094651175601066093
0.023,0.15,0.160,0.003,False,1.4222582164391586116188959449
