StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.025,0.09,0.049,0.007,False,2.1139302378265049701643984166
0.025,0.09,0.050,0.007,False,2.1139302378265049701643984166
0.025,0.09,0.049,0.008,False,2.0587792297239202475590423396
0.025,0.09,0.049,0.009,False,2.0029283716953898106796773812
0.020,0.07,0.049,0.008,False,1.9795649391836118857586185589
0.024,0.09,0.050,0.007,False,1.9477206561052038730952428237
0.024,0.09,0.050,0.006,False,1.9199699429177237775394600918
0.022,0.09,0.049,0.006,True,1.9106808213706304095001936152
0.020,0.09,0.049,0.009,False,1.8933358245548230286365940639
0.021,0.07,0.050,0.008,False,1.8857177400767485273467668274
0.022,0.09,0.051,0.008,False,1.8855427004939149395984225974
0.020,0.01,0.051,0.010,False,1.8837982477253553873541757624
0.025,0.09,0.050,0.008,False,1.8802006988478563770125430556
0.023,0.09,0.049,0.006,True,1.8713426310752025845724904363
0.020,0.09,0.049,0.010,False,1.8600874121910207866386987220
0.038,0.09,0.059,0.012,False,1.8589555260534819413435880367
0.022,0.11,0.049,0.006,True,1.8553833365202244552939548876
0.025,0.09,0.050,0.006,False,1.8553158614705713661106673858
0.025,0.10,0.051,0.007,False,1.8546722524850259774224985505
0.020,0.01,0.050,0.010,False,1.8462344669524986237256322531
0.024,0.09,0.050,0.008,False,1.8433473664533042524730812107
0.038,0.10,0.059,0.012,False,1.8395882490772056898960186962
0.020,0.07,0.049,0.009,False,1.8389866083212611100246567506
0.024,0.09,0.049,0.007,False,1.8297471846935392296234052360
0.025,0.09,0.050,0.009,False,1.8229862740745650267819152921
0.023,0.11,0.049,0.006,True,1.8197769390246914430885036428
0.024,0.09,0.049,0.006,True,1.8171769650777707685636353542
0.022,0.09,0.051,0.009,False,1.8156697824348903471274323613
0.038,0.11,0.059,0.012,False,1.8150965830636091266896036847
0.022,0.10,0.049,0.006,True,1.8132119414309215970968139379
0.024,0.09,0.049,0.008,False,1.8095323763204094330147411932
0.022,0.08,0.049,0.006,True,1.8027322820653213799789070509
0.024,0.09,0.049,0.004,False,1.7994072749346887699593901876
0.020,0.07,0.049,0.010,False,1.7991815611610297419887854760
0.022,0.09,0.051,0.004,False,1.7982439333823160191629491849
0.040,0.09,0.057,0.011,False,1.7974376777834591700623701452
0.040,0.09,0.057,0.010,False,1.7972315613301337646190040984
0.021,0.07,0.051,0.008,False,1.7944236851497541091395761054
0.040,0.11,0.057,0.010,False,1.7926933875139081952237426948
0.040,0.10,0.057,0.011,False,1.7924890380836798044818608066
0.040,0.09,0.056,0.011,False,1.7923299816687366366670146084
0.040,0.09,0.055,0.011,False,1.7922990625664582532949036733
0.040,0.10,0.057,0.010,False,1.7919383607012723889855476927
0.024,0.10,0.051,0.008,False,1.7871761331988040208048297551
0.040,0.09,0.056,0.010,False,1.7862729106645528539834940727
0.040,0.09,0.056,0.009,False,1.7862448588879794504095159105
0.040,0.09,0.055,0.010,False,1.7862419915622744706113831376
0.040,0.10,0.056,0.011,False,1.7861681289277106969951919222
0.040,0.10,0.055,0.011,False,1.7861372098254323136230809871
0.024,0.10,0.051,0.007,False,1.7846235480385541405017595301
0.040,0.11,0.057,0.011,False,1.7830916803958776215553604316
