StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.003,0.02,0.108,0.010,True,1.4405966649618245002811271277
0.008,0.06,0.104,0.013,True,1.4144302217764134555604421459
0.010,0.07,0.104,0.012,True,1.4121871994125418443679636339
0.008,0.06,0.103,0.014,True,1.4077233824046543033547266379
0.009,0.07,0.104,0.012,True,1.3993186704636376056269211621
0.010,0.07,0.104,0.013,True,1.3974600394947446016322011010
0.011,0.07,0.104,0.012,True,1.3960977674420130047072733415
0.010,0.07,0.103,0.014,True,1.3916456137517826596641921629
0.010,0.08,0.102,0.013,True,1.3863615445338517310806494612
0.010,0.08,0.103,0.013,True,1.3863615445338517310806494612
0.010,0.07,0.102,0.015,True,1.3859423453502263054309360054
0.011,0.07,0.104,0.013,True,1.3847143978816809869880943493
0.008,0.06,0.104,0.012,True,1.3827076097183669903822693613
0.008,0.06,0.105,0.012,True,1.3827076097183669903822693613
0.009,0.07,0.104,0.013,True,1.3821952671480635113535178996
0.012,0.07,0.104,0.012,True,1.3814644892051593884811380467
0.010,0.08,0.101,0.014,True,1.3805806443494273487416789557
0.011,0.07,0.103,0.014,True,1.3793340809233020769030622152
0.009,0.07,0.103,0.014,True,1.3754885340293007653367209683
0.011,0.08,0.102,0.013,True,1.3743589798040632007161787747
0.011,0.08,0.103,0.013,True,1.3743589798040632007161787747
0.011,0.07,0.102,0.015,True,1.3736315191195898361200746199
0.012,0.07,0.104,0.013,True,1.3712192462680500486679507662
0.010,0.07,0.103,0.007,False,1.3703674566139344595704146634
0.010,0.07,0.101,0.007,False,1.3703668482149573602680784110
0.010,0.07,0.102,0.007,False,1.3703668482149573602680784110
0.011,0.08,0.101,0.014,True,1.3690124657472507515487311138
0.009,0.07,0.102,0.015,True,1.3685319951053639268844234740
0.009,0.06,0.101,0.008,True,1.3681955708531610212281000267
0.009,0.06,0.102,0.008,True,1.3681955708531610212281000267
0.009,0.06,0.103,0.008,True,1.3681955708531610212281000267
0.009,0.06,0.104,0.008,True,1.3681955708531610212281000267
0.009,0.06,0.105,0.008,True,1.3681955708531610212281000267
0.012,0.07,0.103,0.014,True,1.3671410247058004358231817599
0.013,0.07,0.101,0.006,False,1.3666968365438517174383411622
0.009,0.07,0.101,0.011,True,1.3655799607831773685833223249
0.009,0.07,0.102,0.011,True,1.3655799607831773685833223249
0.009,0.07,0.103,0.011,True,1.3655799607831773685833223249
0.009,0.07,0.104,0.011,True,1.3655799607831773685833223249
0.009,0.06,0.101,0.007,True,1.3649055315827220138771818560
0.009,0.06,0.102,0.007,True,1.3649055315827220138771818560
0.009,0.06,0.103,0.007,True,1.3649055315827220138771818560
0.009,0.06,0.104,0.007,True,1.3649055315827220138771818560
0.009,0.07,0.101,0.012,True,1.3648624337558292462863551925
0.009,0.07,0.102,0.012,True,1.3648624337558292462863551925
0.009,0.07,0.103,0.012,True,1.3648624337558292462863551925
0.012,0.07,0.102,0.015,True,1.3618721624157385902645543873
0.012,0.08,0.102,0.013,True,1.3593057557258637635060124657
0.012,0.08,0.103,0.013,True,1.3593057557258637635060124657
0.010,0.06,0.101,0.009,True,1.3554210802226917082192614462
0.010,0.06,0.102,0.009,True,1.3554210802226917082192614462
0.010,0.06,0.103,0.009,True,1.3554210802226917082192614462
0.010,0.06,0.104,0.009,True,1.3554210802226917082192614462
0.010,0.06,0.105,0.009,True,1.3554210802226917082192614462
0.012,0.08,0.101,0.014,True,1.3552620010708269165750453370
0.013,0.07,0.102,0.005,False,1.3533420658408012383660894254
0.013,0.07,0.101,0.005,False,1.3533242498259232679247742131
0.009,0.07,0.104,0.007,False,1.3509376844441211127627593572
0.009,0.06,0.101,0.006,True,1.3506391719821424594704293306
0.009,0.06,0.102,0.006,True,1.3506391719821424594704293306
0.009,0.06,0.103,0.006,True,1.3506391719821424594704293306
0.009,0.06,0.104,0.006,True,1.3506391719821424594704293306
0.009,0.07,0.101,0.007,False,1.3504946552021493722855454647
0.009,0.07,0.102,0.007,False,1.3504946552021493722855454647
0.009,0.07,0.103,0.007,False,1.3504946552021493722855454647
0.009,0.07,0.101,0.008,True,1.3495349595693046077143243371
0.009,0.07,0.102,0.008,True,1.3495349595693046077143243371
0.009,0.07,0.103,0.008,True,1.3495349595693046077143243371
0.009,0.07,0.104,0.008,True,1.3495349595693046077143243371
0.011,0.07,0.102,0.007,False,1.3487607932107829296824914325
0.011,0.07,0.101,0.007,False,1.3487512191195037276796203773
0.010,0.07,0.101,0.012,True,1.3480792360460028531805142177
0.010,0.07,0.102,0.012,True,1.3480792360460028531805142177
0.010,0.07,0.103,0.012,True,1.3480792360460028531805142177
0.009,0.07,0.101,0.007,True,1.3466819619854781090364742102
0.009,0.07,0.102,0.007,True,1.3466819619854781090364742102
0.009,0.07,0.103,0.007,True,1.3466819619854781090364742102
0.009,0.07,0.104,0.007,True,1.3466819619854781090364742102
0.009,0.06,0.104,0.007,False,1.3464287042041069032910707186
0.009,0.06,0.101,0.007,False,1.3464286489254090462580423320
0.009,0.06,0.102,0.007,False,1.3464286489254090462580423320
0.009,0.06,0.103,0.007,False,1.3464286489254090462580423320
0.010,0.07,0.101,0.011,True,1.3447017524721076964079582793
